region;area;city;settlement;street;house
Респ Калмыкия;Яшкульский р-н;;п Хар Толга;ул Советская;3
Иркутская обл;;г Братск;жилрайон Центральный;ул Подбельского;43
Камчатский край;Елизовский р-н;;с Николаевка;ул Советская;29А
Кемеровская область - Кузбасс;Гурьевский р-н;г Гурьевск;;ул Ленина;75
Красноярский край;;г Канск;;ул Окружная;8
Воронежская обл;Репьёвский р-н;;с Фабрицкое;ул Первомайская;27
Краснодарский край;;г Сочи;;ул Я.Фабрициуса;1
Респ Татарстан;Азнакаевский р-н;;с Асеево;ул Центральная;38Б
Кемеровская область - Кузбасс;Прокопьевский р-н;;с Иганино;ул Заречная;9
Владимирская обл;Ковровский р-н;;п Первомайский;;4
Алтайский край;Ребрихинский р-н;;с Ребриха;ул Ленина;88
Респ Хакасия;;г Черногорск;;пр-кт Космонавтов;44Д
Чувашская Республика - Чувашия;Моргаушский р-н;;д Ярославка;ул Центральная;7
Ростовская обл;Неклиновский р-н;;с Федоровка;ул Ленина;42
Тульская обл;Ефремовский р-н;;д Мордовка;;3
Нижегородская обл;Шатковский р-н;;с Спасское;ул 60 лет Октября;1
Алтайский край;Кытмановский р-н;;с Сосновый Лог;ул Куйбышева;21А
Кировская обл;Нолинский р-н;г Нолинск;;ул К.Либкнехта;8
Курская обл;Солнцевский р-н;;с Шумаково;ул Станционная;1
г Москва;;;;ул Кирпичная;51
Респ Татарстан;Высокогорский р-н;;с Дубъязы;ул Ленина;27А/1
Самарская обл;Волжский р-н;;п Новоберезовский;ул Центральная;2
Краснодарский край;Брюховецкий р-н;;с Бейсугское;ул Ленина;72
Респ Татарстан;Альметьевский р-н;;п ж/д станции Калейкино;ул Зеленая;19А
Ленинградская обл;Ломоносовский р-н;;д Горбунки;ул Спорта;3
Сахалинская обл;Ногликский р-н;;пгт Ноглики;ул Рябиновая;7А
Свердловская обл;Каменский р-н;;с Клевакинское;ул Уральская;17
Пермский край;Еловский р-н;;с Елово;ул Карла Маркса;14Б
Респ Башкортостан;Мелеузовский р-н;г Мелеуз;;ул Свердлова;11
Владимирская обл;;г Гусь-Хрустальный;п Гусевский;ул Советская;2
Пензенская обл;Бессоновский р-н;;с Вазерки;ул Центральная;1
Еврейская Аобл;Облученский р-н;;п Известковый;ул Капитана Ведина;1
Московская обл;;г Домодедово;"п государственного племенного завода ""Константиново""";ул Центральная;1В
Респ Башкортостан;Миякинский р-н;;с Садовый;ул Лесная;9
Респ Башкортостан;Мечетлинский р-н;;д Новомещерово;ул Айская;1А
г Санкт-Петербург;;;;ул Парашютная;1
Ивановская обл;;г Вичуга;;ул Ленинградская;62
Респ Башкортостан;Кугарчинский р-н;;с Максютово;ул Центральная;70Б
Ростовская обл;Цимлянский р-н;г Цимлянск;;ул Победы;112
Красноярский край;;г Канск;;ул 40 лет Октября;64Б
Ростовская обл;Песчанокопский р-н;;с Николаевка;пер Центральный;15
Самарская обл;;г Самара;;просека 5-я;99
Пермский край;;г Пермь;;ул Чкалова;22
Респ Северная Осетия - Алания;Пригородный р-н;;с Сунжа;ул Речная;18
Саратовская обл;Озинский р-н;;п Липовский;ул Ленина;26
Челябинская обл;Карталинский р-н;г Карталы;;ул Орская;2А
Московская обл;;г Чехов;;ул Товарная;1
Краснодарский край;;г Краснодар;;ул Северная;277
Краснодарский край;;г Краснодар;снт Юбилейное (п Дружелюбный);ул Железнодорожная;2А
Амурская обл;;г Белогорск;;ул Красноармейская;21
Липецкая обл;Лев-Толстовский р-н;;п Лев Толстой;ул Льва Толстого;81
Респ Карелия;Кондопожский р-н;г Кондопога;;ул Пролетарская;27
Респ Крым;Симферопольский р-н;;с Маленькое;ул Киевская;38А
Владимирская обл;Суздальский р-н;;п Боголюбово;ул Пушкина;37Г
Респ Марий Эл;Волжский р-н;;д Курмузаково;ул Большая;30
Респ Татарстан;;г Казань;;ул Хусаина Мавлютова;9
Краснодарский край;Славянский р-н;г Славянск-на-Кубани;;ул Победы;465/1
Пермский край;;г Краснокамск;;ул Коммунистическая;8
Респ Алтай;Усть-Коксинский р-н;;п Курунда;ул Центральная;13
Хабаровский край;;г Комсомольск-на-Амуре;;ул Культурная;6
Респ Татарстан;Буинский р-н;г Буинск;;ул Железнодорожная;73
Мурманская обл;;г Мурманск;;ул Ломоносова;17
Калининградская обл;Гурьевский р-н;г Гурьевск;тер. СНТ Заречье;ул Виноградная;354
Ростовская обл;Пролетарский р-н;;х Мокрая Ельмута;ул Городовикова;10
Брянская обл;Гордеевский р-н;;с Творишино;ул Школьная;7
Ханты-Мансийский Автономный округ - Югра АО;Нижневартовский р-н;;п Аган;ул Рыбников;24
Ямало-Ненецкий АО;;г Новый Уренгой;;ул Магистральная;44
Самарская обл;;г Отрадный;;ул Первомайская;2Б
Респ Татарстан;Кукморский р-н;;с Большой Сардек;ул Центральная;47А
Свердловская обл;Нижнесергинский р-н;;с Киргишаны;ул Трактовая;39
Респ Мордовия;Торбеевский р-н;;с Мордовские Юнки;ул Школьная;2
Чувашская Республика - Чувашия;Чебоксарский р-н;;д Вурманкас-Туруново;ул Почтовая;3
Тульская обл;Суворовский р-н;г Суворов;;ул Советская;16
Забайкальский край;Борзинский р-н;г Борзя;;ул Богдана Хмельницкого;4
г Санкт-Петербург;;;;пр-кт Народного Ополчения;101
Московская обл;;г Раменское;д Чулково;тер Зеленая слобода;1
Респ Адыгея;Кошехабльский р-н;;х Игнатьевский;ул Ленина;95
Иркутская обл;Боханский р-н;;с Александровское;ул Ленина;10А
Респ Мордовия;Лямбирский р-н;;с Лямбирь;ул Ленина;3В
Кировская обл;Котельничский р-н;;п Заречный;ул Лесная;6
Нижегородская обл;Ардатовский р-н;;с Туркуши;ул Береговая;156А
Свердловская обл;Богдановичский р-н;г Богданович;;ул Октябрьская;88
Красноярский край;Ермаковский р-н;;с Семенниково;ул Центральная;1Б
Респ Дагестан;;г Дербент;;ул У.Буйнакского;27
Пермский край;Красновишерский р-н;г Красновишерск;;ул Коммунистическая;10А
Волгоградская обл;;г Камышин;;ул Кубанская;27
Кемеровская область - Кузбасс;Мариинский р-н;г Мариинск;;ул Котовского;94
Нижегородская обл;;г Кулебаки;;ул Щорса;61/1
Респ Марий Эл;Моркинский р-н;;п Октябрьский;ул Центральная;10
Белгородская обл;Белгородский р-н;;с Нечаевка;ул Мира;32
Пензенская обл;Никольский р-н;;рп Сура;ул Пятилетка;58
Самарская обл;Кинель-Черкасский р-н;;с Березняки;ул Советская;22
Псковская обл;Печорский р-н;г Печоры;;ул Мира;61А
Липецкая обл;;г Липецк;;ул Вермишева;2А
Калининградская обл;;г Калининград;тер. СНТ Портовик;пер Фортовый;10
Кемеровская область - Кузбасс;;г Калтан;;пр-кт Мира;37/1
г Москва;;;;ш Ленинградское;77А
Респ Бурятия;Бичурский р-н;;с Малый Куналей;ул Советская;7
Омская обл;Большереченский р-н;;с Курносово;ул 30 лет Победы;14
Респ Карелия;;г Сортавала;п Рускеала;ул Алексеева;16
Красноярский край;;г Ачинск;мкр 4-й Привокзального района;;1А
Липецкая обл;;г Липецк;;мкр 15-й;9
Ростовская обл;Аксайский р-н;;п Октябрьский;ул Советская;27
Свердловская обл;Нижнесергинский р-н;;с Кленовское;ул Красных Партизан;2
г Санкт-Петербург;;;;ул Народная;59
Иркутская обл;Осинский р-н;;с Усть-Алтан;ул Ленина;20
Челябинская обл;Верхнеуральский р-н;;п Бабарыкинский;ул Школьная;4
Краснодарский край;Анапский р-н;г Анапа;;ул Промышленная;10Б
Пензенская обл;Спасский р-н;г Спасск;;ул Ленина;46
Саратовская обл;Хвалынский р-н;;п Возрождение;ул Некрасова;6Б
Ханты-Мансийский Автономный округ - Югра АО;Белоярский р-н;;п Лыхма;ул ЛПУ;30
Вологодская обл;;г Вологда;;ул Фрязиновская;33
Самарская обл;;г Самара;п Зубчаниновка;ш Аэропортовское;68
Хабаровский край;;г Комсомольск-на-Амуре;;тер ГК Большевик ул Культурная;6
