Код сети;Наименование сети;Не используем в расчётах
4,56723E+13;Сеть1;
4,56778E+13;Сеть2;
4,56753E+13;Сеть3;
4,56777E+13;Сеть4;
4,56777E+13;Сеть5;
4,5675E+13;Сеть6;
4,56778E+13;Сеть7;
4,56767E+13;Сеть8;
4,56722E+13;Сеть9;
4,56777E+13;Сеть10;
4,56777E+13;Сеть11;
4,5677E+13;Сеть12;
4,56777E+13;Сеть13;1
4,56778E+13;Сеть14;
4,56777E+13;Сеть2;
4,56762E+13;Сеть4;
4,56733E+13;Сеть4;
4,56777E+13;Сеть15;
4,56778E+13;Сеть16;1
4,56753E+13;Сеть4;
4,56725E+13;Сеть17;
4,56753E+13;Сеть18;
4,56778E+13;Сеть19;
4,56743E+13;Сеть20;
4,56777E+13;Сеть21;1
4,56775E+13;Сеть4;
4,56727E+13;Сеть22;
4,56738E+13;Сеть23;
4,56758E+13;Сеть4;
4,56777E+13;Сеть4;
4,56739E+13;Сеть24;
4,56797E+13;Сеть25;1
4,56777E+13;Сеть26;
4,56767E+13;Сеть4;
4,56777E+13;Сеть27;
4,56777E+13;Сеть28;1
4,56773E+13;Сеть29;
4,56745E+13;Сеть30;
4,56778E+13;Сеть31;
4,56767E+13;Сеть4;
4,56797E+13;Сеть32;1
4,56775E+13;Сеть4;
4,56725E+13;Сеть33;
4,56777E+13;Сеть34;
4,56735E+15;Сеть35;
4,56734E+13;Сеть36;
4,56777E+13;Сеть2;
4,56703E+13;Сеть4;
4,56759E+13;Сеть4;
4,56774E+13;Сеть4;
4,56777E+13;Сеть37;1
4,56786E+13;Сеть4;
4,56777E+13;Сеть4;
4,56777E+13;Сеть38;
4,56703E+13;Сеть4;
4,56723E+13;Сеть28;1
4,56775E+13;Сеть28;1
4,56791E+13;Сеть39;
4,56753E+13;Сеть20;
4,56777E+13;Сеть40;
4,56739E+13;Сеть18;
4,56786E+13;Сеть4;
4,56755E+13;Сеть4;
4,56753E+13;Сеть2;
4,5675E+13;Сеть41;
4,56767E+13;Сеть42;
4,56766E+13;Сеть4;
4,56772E+13;Сеть4;
4,56703E+15;Сеть43;
4,56716E+13;Сеть44;
4,56773E+13;Сеть45;
4,56775E+13;Сеть18;
4,56778E+13;Сеть28;1
4,56723E+13;Сеть46;
