Код сети;Адрес;Продажи
00045677724490000;Алтайский край, Алейский р-н, п Александровский, ул Школьная, 2А;7418
00045677724490000;Алтайский край, Алейский р-н, с Кабаково, ул Центральная, 2Б;1868
00045677724490000;Алтайский край, Алейский р-н, с Кашино, ул Октябрьская, 52;2496
00045677724490000;Алтайский край, Алейский р-н, с Малиновка, ул Центральная, 32Б;9939
00045677724490000;Алтайский край, Алтайский р-н, с Нижнекаменка, ул 60 лет Октября, 89;2561
00045677724490000;Алтайский край, Алтайский р-н, с Никольское, ул Центральная, 4;2770
00045677724490000;Алтайский край, Баевский р-н, с Верх-Чуманка, ул Набережная, 24;1226
00045677724490000;Алтайский край, Бийский р-н, с Верх-Бехтемир, пер Советский, 10;5909
00045677724490000;Алтайский край, Бийский р-н, с Старая Чемровка, ул Советская, 64;8387
00045672310031475;Алтайский край, Благовещенский р-н, рп Степное Озеро, ул Мира, 14А;8832
00045677724490000;Алтайский край, Благовещенский р-н, с Дмитриевка, ул 70 лет Октября, 1;7254
00045677724490000;Алтайский край, Благовещенский р-н, с Нижний Кучук, ул Центральная, 21;8781
00045677724490000;Алтайский край, Благовещенский р-н, с Суворовка, ул Советская, 63;6270
00045677724490000;Алтайский край, Бурлинский р-н, с Асямовка, ул Титова, 17;1390
00045677724490000;Алтайский край, Бурлинский р-н, с Бурла, ул Почтовая, 10;5583
00045677724490000;Алтайский край, Волчихинский р-н, п Правда, ул Береговая, 58;9886
00045677724490000;Алтайский край, Волчихинский р-н, с Малышев Лог, ул Вариводы, 1А;6491
00045672310031475;Алтайский край, г Алейск, ул Пионерская, 138;9271
00045677724490000;Алтайский край, г Барнаул, п Бельмесево, ул Молодежная, 46;8741
00045672225074005;Алтайский край, г Барнаул, пер Карева, 61;6442
00045672310031475;Алтайский край, г Барнаул, пер Ядринцева, 86;1167
00045677825706086;Алтайский край, г Барнаул, пр-кт Калинина, 1А;7709
00045677017187800;Алтайский край, г Барнаул, пр-кт Комсомольский, 87;8740
00045672225074005;Алтайский край, г Барнаул, пр-кт Ленина, 106/1;2035
00045677724490000;Алтайский край, г Барнаул, пр-кт Ленина, 112;2269
00045675257056036;Алтайский край, г Барнаул, пр-кт Ленина, 130;2568
00045672310031475;Алтайский край, г Барнаул, пр-кт Ленина, 140;6221
00045677743931676;Алтайский край, г Барнаул, пр-кт Ленина, 151В;370
00045677743931676;Алтайский край, г Барнаул, пр-кт Социалистический, 59;8927
00045677724490000;Алтайский край, г Барнаул, пр-кт Социалистический, 69;3017
00045677814148471;Алтайский край, г Барнаул, пр-кт Энергетиков, 11;9186
00045677743369591;Алтайский край, г Барнаул, проезд Заводской 9-й, 44;1307
00045677017187800;Алтайский край, г Барнаул, проезд Северный Власихинский, 57;5570
00045677825706086;Алтайский край, г Барнаул, проезд Северный Власихинский, 6;5930
